event_id,bracket,buy_price,buy_time,sell_price,pnl,resolved,approach
10559,0-59,0.065,1714752652.912963,0.0,-1.0,True,ml
10559,60-74,0.235,1714752652.912963,0.0,-0.9999999999999999,True,ml
10559,75-89,0.285,1714752652.912963,0.0,-1.0,True,ml
10559,90-104,0.225,1714752652.912963,1.0,3.4444444444444446,True,ml
10559,105-119,0.11,1714752652.912963,0.0,-1.0,True,ml
10559,120-134,0.06,1714752652.912963,0.0,-1.0,True,ml
10559,135-149,0.04,1714752652.912963,0.0,-1.0,True,ml
10559,90-104,0.475,1715184652.912963,1.0,1.1052631578947367,True,ml
10628,0-59,0.0275,1715360639.960883,1.0,35.36363636363637,True,ml
10628,60-74,0.135,1715360639.960883,0.0,-1.0,True,ml
10628,75-89,0.29,1715360639.960883,0.0,-1.0,True,ml
10628,90-104,0.32,1715360639.960883,0.0,-1.0,True,ml
10628,105-119,0.185,1715360639.960883,0.0,-1.0,True,ml
10628,120-134,0.052,1715360639.960883,0.0,-0.9999999999999999,True,ml
10628,135-149,0.0255,1715360639.960883,0.0,-1.0,True,ml
10628,0-59,0.1025,1715619839.960883,1.0,8.75609756097561,True,ml
10628,60-74,0.32,1715619839.960883,0.0,-1.0,True,ml
10628,0-59,0.205,1715792639.960883,1.0,3.8780487804878048,True,ml
10678,0-54,0.13,1715964559.271905,0.0,-1.0,True,ml
10678,55-64,0.22,1715964559.271905,0.0,-1.0,True,ml
10678,65-74,0.245,1715964559.271905,0.0,-1.0,True,ml
10678,75-84,0.195,1715964559.271905,1.0,4.128205128205128,True,ml
10678,85-94,0.155,1715964559.271905,0.0,-1.0,True,ml
10678,95-104,0.06,1715964559.271905,0.0,-1.0,True,ml
10678,105-114,0.04,1715964559.271905,0.0,-1.0,True,ml
10678,95-104,0.15,1716050959.271905,0.0,-1.0,True,ml
10678,105-114,0.1145,1716050959.271905,0.0,-0.9999999999999999,True,ml
10678,75-84,0.405,1716396559.271905,1.0,1.4691358024691357,True,ml
10678,85-94,0.385,1716482959.271905,0.0,-1.0,True,ml
10764,0-54,0.05,1716569661.970676,1.0,19.0,True,ml
10764,0-54,0.1695,1716785661.970676,1.0,4.899705014749262,True,ml
10764,0-54,0.3595,1716872061.970676,1.0,1.781641168289291,True,ml
10825,0-39,0.0355,1717172177.311648,0.0,-1.0,True,ml
10984,0-39,0.065,1717780573.805113,0.0,-1.0,True,ml
10984,40-49,0.085,1717780573.805113,0.0,-1.0,True,ml
10984,50-59,0.15,1717780573.805113,0.0,-1.0,True,ml
10984,60-69,0.17,1717780573.805113,0.0,-1.0,True,ml
10984,70-79,0.175,1717780573.805113,1.0,4.714285714285714,True,ml
10984,80-89,0.165,1717780573.805113,0.0,-1.0,True,ml
10984,90-99,0.125,1717780573.805113,0.0,-1.0,True,ml
