,corr_with_target
current_price,0.3541007004135706
macd,0.30303011041495276
ema_ratio_12_26,0.2905025531938406
log_ret_path,0.2728643695607961
volatility_ticks,0.19036069347216633
ret_24h,0.09977191111896182
bracket_high,-0.06301819062145465
bracket_z_vs_hist,-0.061658900185511636
bracket_mid,-0.06165890018551144
bracket_low,-0.05991023165895806
hist_win_context,-0.053998548809974935
n_ticks_log1p,0.023604958906602812
ret_6h,0.005050277935593472
hours_elapsed,-0.000297423060682421
hours_to_close,-0.00025523519748751075
log1p_hours_elapsed,-0.00024181452495108775
log1p_hours_to_close,-0.00018691796873998625
pct_elapsed,9.761721746964213e-16
rsi_14,
